TIMESTAMP;COND;COND-DETAILS;IADS-ID;IAPS-ID;WIDGET-TYPE;ANS;ANS-TIME
1557133782.5672061;con;p0s0;130;7092;emoscale1;4.0;0.35045918538889964
1557133800.0602062;con;p0s0;322;9635;emoscale1;3;nan
1557133817.5442061;con;p0s0;373;9402;emoscale1;2.0;2.35249097117412
1557133835.0272062;con;p+s+;415;4490;emoscale1;1.0;0.8677346173790284
1557133852.515206;inc;p+s-;277;4647;emoscale1;3.0;3.186649945730096
1557133870.016206;con;p0s0;382;7079;emoscale1;3;nan
1557133887.512206;inc;p-s+;353;6370;emoscale1;3;nan
1557133904.999206;con;p-s-;289;6263;emoscale1;4.0;3.536983363910622
1557133922.4882061;con;p-s-;277;3053;emoscale1;2.0;0.28369600714540866
1557133939.9782062;inc;p+s-;260;4490;emoscale1;1.0;0.6507630677842826
1557133957.4712062;con;p-s-;502;6231;emoscale1;4.0;1.7852415330744407
1557133974.963206;con;p+s+;110;8380;emoscale1;5.0;1.0344923327029392
1557133992.446206;con;p+s+;366;7501;emoscale1;4.0;7.607798707629627
1557134009.9492064;con;p-s-;288;9325;emoscale1;2.0;0.41718904582558025
1557134027.446206;inc;p+s-;312;8370;emoscale1;4.0;0.3003690172026836
1557134044.946206;inc;p+s-;310;8470;emoscale1;4.0;0.2837254228652455
1557134062.4472065;con;p+s+;352;8186;emoscale1;5.0;1.3014312848790723
1557134079.9972062;inc;p-s+;200;3005;emoscale1;2.0;0.45062631470136694
1557134097.5142062;inc;p+s-;703;4611;emoscale1;3;nan
1557134115.0142062;inc;p+s-;422;4800;emoscale1;4.0;0.38401051521941554
1557134132.5262065;inc;p+s-;625;5470;emoscale1;3;nan
1557134150.0222065;con;p+s+;202;4668;emoscale1;4.0;0.8343288653450145
1557134167.519206;con;p0s0;728;2525;emoscale1;2.0;0.4507139615398046
1557134184.9972062;inc;p-s+;109;3261;emoscale1;1.0;0.6174089433407062
1557134202.480206;con;p-s-;713;6510;emoscale1;3;nan
1557134219.9692063;inc;p-s+;415;9325;emoscale1;4.0;0.5673619982517266
1557134237.464206;inc;p-s+;311;8230;emoscale1;2.0;0.3504798964568181
1557134254.9542062;inc;p-s+;601;3195;emoscale1;1.0;0.8676292610780365
1557134272.4492064;inc;p+s-;713;7501;emoscale1;3;nan
1557134289.9372065;inc;p-s+;366;6263;emoscale1;3;nan
1557134307.4382062;con;p-s-;709;9163;emoscale1;2.0;0.5006195310779731
1557134324.9322062;con;p0s0;724;6570;emoscale1;3;nan
1557134342.4172065;con;p0s0;104;2810;emoscale1;3;nan
1557134359.9172065;con;p0s0;368;7595;emoscale1;4.0;0.3337426520720328
1557134377.4012065;con;p-s-;719;6821;emoscale1;1.0;0.6340726484231709
1557134394.900206;con;p+s+;353;4660;emoscale1;4.0;0.40050913208142447
1557134412.3852062;con;p+s+;365;8193;emoscale1;5.0;1.4688340449138195
1557134429.8862062;con;p-s-;423;2683;emoscale1;2.0;3.2533846087335405
1557134447.390206;inc;p-s+;201;9163;emoscale1;2.0;0.33379367934139736
1557134464.870206;inc;p-s+;216;3015;emoscale1;1.0;0.5006018216135999
1557134482.3542066;con;p-s-;624;9902;emoscale1;3;nan
1557134499.880206;inc;p-s+;204;3053;emoscale1;1.0;3.837403408380851
1557134517.3692062;con;p-s-;255;3063;emoscale1;1.0;0.5006267349272093
1557134534.8532062;con;p+s+;813;8034;emoscale1;5.0;1.6685082508083724
1557134552.335206;inc;p-s+;817;1525;emoscale1;4.0;0.7008163162408891
1557134569.835206;con;p0s0;225;4279;emoscale1;3;nan
1557134587.3212063;con;p0s0;170;1112;emoscale1;4.0;1.1513102602038998
1557134604.8192062;inc;p-s+;351;6250;emoscale1;3;nan
1557134622.3022065;inc;p-s+;365;6510;emoscale1;3;nan
1557134639.8072062;con;p0s0;152;9468;emoscale1;3;nan
1557134657.288206;con;p0s0;120;1945;emoscale1;4.0;0.3170885521230957
1557134674.792206;con;p-s-;283;9184;emoscale1;2.0;0.31706183784626774
1557134692.2712061;con;p+s+;817;8470;emoscale1;4.0;0.5172832361604378
1557134709.7772062;con;p0s0;361;7632;emoscale1;3;nan
1557134727.2542062;inc;p+s-;420;8178;emoscale1;4.0;0.3003969321216573
1557134744.7632062;inc;p-s+;352;6231;emoscale1;4.0;0.43385695315555495
1557134762.255206;inc;p-s+;110;6213;emoscale1;4.0;3.32013758152425
1557134779.7382061;inc;p-s+;210;3102;emoscale1;1.0;1.117908710415577
1557134797.223206;inc;p-s+;220;2683;emoscale1;2.0;0.25034548462826933
1557134814.723206;inc;p+s-;699;8380;emoscale1;4.0;0.3170870513185946
1557135542.5092065;inc;p+s-;255;9156;emospace1;[0.0, 0.9364099121093756];3.8707743418071914
1557135560.0302062;con;p0s0;132;7249;emospace1;[0.9214001464843753, 0.14421997070312503];5.172067853060071
1557135577.528206;inc;p+s-;295;5623;emospace1;[-0.919693603515625, 0.0];3.670587762100695
1557135595.0092065;con;p-s-;134;8230;emospace1;[-1.0, -0.3834796142578126];2.4693431169616815
1557135612.5102062;con;p-s-;260;3102;emospace1;[-1.0, 0.9736047363281252];6.373543621712088
1557135630.0062065;con;p0s0;358;2115;emospace1;[-0.06703674316406251, -0.4998889160156251];8.82584633227998
1557135647.512206;con;p+s+;205;9156;emospace1;[0.0, -1.0];7.374311432027753
1557135665.0022066;inc;p+s-;241;8001;emospace1;[-0.509534912109375, -0.5015759277343752];8.658946941244722
1557135682.4942062;inc;p-s+;215;3101;emospace1;[-1.0, 1.0];1.3348454414044681
1557135699.982206;inc;p+s-;106;7405;emospace1;[1.0, 0.5593963623046876];1.5518506089647417
1557135717.4622061;inc;p-s+;820;6821;emospace1;[0.22951721191406246, 0.29219482421875004];5.1887807844523195
1557135734.9452062;inc;p-s+;367;9429;emospace1;[-0.26265380859375, 0.2915283203124999];8.625555596911
1557135752.4612062;con;p+s+;360;4656;emospace1;[0.3166571044921876, 0.44486572265625];5.138783665990559
1557135769.946206;con;p-s-;291;1525;emospace1;[0.2815795898437501, 0.3978198242187501];2.686235124050654
1557135787.4452062;con;p-s-;625;6250;emospace1;[-0.37583923339843756, 0.18308837890625013];8.325249313233144
1557135804.9292064;inc;p+s-;709;8193;emospace1;[0.31760986328125, 0.30376525878906246];2.0523329667357757
1557135822.4352062;con;p-s-;501;3195;emospace1;[-1.0, 0.9857897949218749];3.9875793624123617
1557135839.9132063;con;p-s-;241;3010;emospace1;[-0.8962518310546875, 0.8276580810546876];1.4518071457387123
1557135857.4132063;con;p-s-;420;3005;emospace1;[-0.7757849121093756, 0.6811053466796874];5.0886391687708965
1557135874.8962061;inc;p+s-;711;8130;emospace1;[0.11047180175781252, 0.21125183105468753];1.985535570207503
1557135892.3962061;inc;p+s-;424;4651;emospace1;[0.3650653076171876, 0.18734558105468752];2.1356680009812408
1557135909.8822062;inc;p+s-;283;4659;emospace1;[-0.5389172363281252, -0.18824951171875];6.456733978637203
1557135927.380206;con;p+s+;716;4652;emospace1;[0.5161944580078127, 0.30422424316406255];4.15446254478411
1557135944.8632061;inc;p-s+;360;6230;emospace1;[-0.4795422363281251, -0.20967956542968755];6.123019541642861
1557135962.364206;con;p+s+;215;4651;emospace1;[0.0041265869140625, -0.2728485107421875];5.021907207210461
1557135979.864206;inc;p+s-;501;4656;emospace1;[0.0, -0.2898333740234375];2.4359589764771954
1557135997.3502061;inc;p-s+;378;3120;emospace1;[-0.9062670898437499, 0.43765930175781265];2.669556410946825
1557136014.8492062;inc;p-s+;815;9622;emospace1;[0.6693469238281252, 0.29328613281250016];4.155193735530702
1557136032.3332062;con;p+s+;815;8370;emospace1;[0.9917175292968751, 0.704852905273438];3.8374853521727346
1557136049.8332062;con;p+s+;808;8341;emospace1;[0.5923614501953125, 0.42626342773437514];1.4016053178802395
1557136067.3202062;con;p+s+;200;4697;emospace1;[0.0, -0.18634460449218748];8.041650558057881
1557136084.8172064;inc;p+s-;423;5270;emospace1;[0.4282403564453126, 0.1345404052734375];6.139688649613163
1557136102.3012064;inc;p+s-;502;8034;emospace1;[0.8053723144531255, 0.28250183105468746];1.5518007823375228
1557136119.7992065;con;p-s-;106;6213;emospace1;[0.5777606201171877, 0.0];0.9177551483517163
1557136137.3002062;con;p0s0;720;7046;emospace1;[0.6130706787109377, 0.11832641601562502];6.573460657376927
1557136154.8012064;inc;p+s-;624;4652;emospace1;[0.9342572021484375, 0.2270355224609375];1.9855382716523309
1557136172.2852066;con;p0s0;377;6010;emospace1;[-0.31424316406250014, -0.45170104980468745];8.47540425603438
1557136189.7842062;con;p+s+;201;4800;emospace1;[0.0, -0.35141723632812516];1.3516084995826532
1557136207.2672062;inc;p-s+;610;3063;emospace1;[-1.0, 0.6167602539062502];4.254589152444169
1557136224.7692065;inc;p-s+;813;9423;emospace1;[0, 0];nan
1557136242.2532065;inc;p-s+;205;9253;emospace1;[-0.8992211914062496, 0.35235046386718744];0.9011469729430246
1557136259.7532065;inc;p+s-;276;8341;emospace1;[-0.4534442138671876, 0.3226824951171875];3.3035161990555935
1557136277.2442062;inc;p+s-;288;4668;emospace1;[-0.45031677246093754, -0.2856597900390625];3.904118861119059
1557136294.736206;inc;p+s-;291;5621;emospace1;[1.0, -0.15047119140624998];4.004160223223153
1557136312.2212062;con;p0s0;425;7560;emospace1;[0.0, -0.5009375];5.922841366427747
1557136329.720206;con;p+s+;355;8178;emospace1;[0.7150109863281251, 0.32672912597656256];2.6862852508384094
1557136347.203206;con;p-s-;711;3261;emospace1;[-0.9443780517578123, 0.42484985351562493];1.434951037834253
1557136364.7082062;con;p0s0;705;2309;emospace1;[-0.17640869140625, 0.0];6.256612233577471
1557136382.187206;con;p+s+;367;5470;emospace1;[0.7543762207031248, -0.32600097656250004];2.8532167590365134
1557136399.687206;con;p0s0;723;9926;emospace1;[-0.9809436035156252, -0.41887145996093744];3.3034915859025205
1557136417.1712062;inc;p+s-;134;4660;emospace1;[0.0, -0.6095050048828127];0.9344425661074638
1557136434.683206;inc;p+s-;293;2300;emospace1;[0.3369757080078125, -0.44061950683593754];2.8197125543883885
1557136452.1742065;inc;p+s-;290;4697;emospace1;[-0.447816162109375, -0.2819000244140625];4.037616402205458
1557136469.660206;inc;p-s+;716;9184;emospace1;[-0.5080871582031252, -0.25729431152343757];7.474447344660803
1557136487.1552062;inc;p-s+;355;3150;emospace1;[-0.6456298828125003, 0.24156433105468753];3.7206001887407183
1557136504.6382062;inc;p-s+;808;3010;emospace1;[-0.7348516845703125, 0.26970336914062504];3.8712161779258167
1557136522.1572065;con;p+s+;220;5623;emospace1;[0.5245867919921874, 0.219775390625];4.688344651382067
1557136539.640206;inc;p-s+;202;9902;emospace1;[0.0, -0.3609423828125];1.7853054672432336
1557136557.1512065;inc;p+s-;719;5215;emospace1;[-0.51313232421875, 0.3029736328125];2.4530242961845943
1557136574.640206;inc;p+s-;289;8186;emospace1;[0.3549102783203125, -0.2584051513671876];4.4213096478761145
