ID;AGE;SEX;PROCEDURE-BEGIN-TIMESTAMP;PROCEDURE-END-TIMESTAMP;BIOSIGS-BEGIN-TIMESTAMP;BIOSIGS-END-TIMESTAMP;OPENNESS;CONSCIENTIOUSNESS;EXTRAVERSION;AGREEABLENESS;NEUROTICISM;NEO-FFI;BIOSIGS;PROCEDURE;SPACE;FREUD;PHOTOS
1107;21;F;1555650720.0;1555654909.4518821;1555650712.843;1555654942.392;4;6;10;4;3;Y;Y;Y;Y;Y;Y
1153;22;F;1555671540.0;1555675783.856967;1555671785.707;1555675818.756;5;3;8;3;8;Y;Y;Y;Y;Y;Y
1233;21;F;1555411200.0;1555415469.456161;nan;nan;6;8;7;10;2;Y;nan;Y;Y;Y;Y
1237;22;F;1554294300.0;1554298525.3630311;1554294242.695;1554298568.094;nan;nan;nan;nan;nan;nan;Y;Y;Y;Y;Y
1271;21;F;1554359820.0;1554364017.7852159;1554359827.466;1554364053.265;nan;nan;nan;nan;nan;nan;Y;Y;Y;Y;Y
1318;21;M;1558009440.0;1558013661.492839;1558009457.508;1558013690.507;3;6;5;5;2;Y;Y;Y;Y;Y;Y
1400;22;M;1554710400.0;1554714624.30457;1554711183.187;1554714655.536;4;6;5;6;6;Y;Y;Y;Y;Y;Y
1402;27;F;1554808020.0;1554812243.08703;1554807979.574;1554812271.673;9;7;7;4;7;Y;Y;Y;Y;Y;Y
1437;33;M;1554466980.0;1554471145.007292;1554466995.358;1554471173.907;nan;nan;nan;nan;nan;nan;Y;Y;Y;Y;Y
1441;22;M;1554281460.0;1554285666.583485;nan;nan;nan;nan;nan;nan;nan;nan;nan;Y;Y;Y;Y
1507;22;F;1555580040.0;1555584206.1120741;1555579912.822;1555584242.421;3;2;8;9;4;Y;Y;Y;Y;Y;Y
1516;24;F;1555679760.0;1555683976.967724;1555679666.988;1555684014.287;1;10;4;6;4;Y;Y;Y;Y;Y;Y
1619;21;M;1557490680.0;1557494906.977622;1557490662.955;1557494945.904;8;3;5;5;7;Y;Y;Y;Y;Y;Y
1678;23;M;1557836460.0;1557840667.573036;1557836426.985;1557840742.934;6;3;3;3;10;Y;Y;Y;Y;Y;Y
1704;23;M;1557990900.0;1557995089.338962;nan;nan;4;1;1;7;8;Y;nan;Y;Y;Y;Y
1714;22;M;1558015020.0;1558019201.203294;1558014982.661;1558019218.96;4;6;4;4;3;Y;Y;Y;Y;Y;Y
1809;22;M;1554715680.0;1554719873.8986082;1554715725.496;1554719909.745;6;1;8;7;6;Y;Y;Y;Y;Y;Y
1933;22;F;1554279360.0;1554283572.022807;nan;nan;nan;nan;nan;nan;nan;nan;nan;Y;Y;Y;Y
2006;21;M;1554801960.0;1554806154.411402;1554801834.92;1554806187.769;1;1;2;1;2;Y;Y;Y;Y;Y;Y
2032;20;M;1554369420.0;1554373668.155448;1554369456.44;1554373694.389;nan;nan;nan;nan;nan;nan;Y;Y;Y;Y;Y
2070;25;M;1555058520.0;1555062704.455663;1555058416.283;1555062744.532;5;8;6;5;6;Y;Y;Y;Y;Y;Y
2103;nan;M;1555406580.0;1555410757.568767;nan;nan;nan;nan;nan;nan;nan;nan;nan;Y;Y;Y;Y
2104;20;F;1554809940.0;1554814123.0078208;1554809925.945;1554814153.994;3;4;6;2;6;Y;Y;Y;Y;Y;Y
2110;21;M;1554718680.0;1554722870.891464;1554718678.725;1554722897.474;9;9;7;4;4;Y;Y;Y;Y;Y;Y
2121;21;M;1555064520.0;1555068747.242636;1555064393.624;1555068782.173;5;8;10;9;3;Y;Y;Y;Y;Y;Y
2277;22;M;1557749700.0;1557753916.222854;1557749709.631;1557753955.53;3;4;5;7;1;Y;Y;Y;Y;Y;Y
2289;23;M;1557403800.0;1557408020.409561;1557403769.107;1557408053.106;7;5;5;9;7;Y;Y;Y;Y;Y;Y
2340;23;M;1558083240.0;1558087449.209685;1558083041.497;1558087507.296;5;5;8;6;3;Y;Y;Y;Y;Y;Y
2401;22;M;1557818160.0;1557822379.67536;1557818163.603;1557822402.452;5;4;4;8;10;Y;Y;Y;Y;Y;Y
2428;23;M;1554726720.0;1554730929.528969;1554726713.855;1554730964.404;8;5;7;3;9;Y;Y;Y;Y;Y;Y
2452;22;M;1557922260.0;1557926472.235691;1557922266.817;1557926506.716;5;8;7;7;2;Y;Y;Y;Y;Y;Y
2517;20;M;1557496800.0;1557501055.605623;1557496794.963;1557501092.312;7;7;1;10;10;Y;Y;Y;Y;Y;Y
2669;23;F;1555577520.0;1555581745.352029;1555577447.111;1555581811.06;8;6;6;4;3;Y;Y;Y;Y;Y;Y
2688;nan;M;nan;nan;1555589018.857;1555591069.056;nan;nan;nan;nan;nan;nan;Y;nan;Y;nan;Y
2705;22;F;1557496560.0;1557500800.568822;1557496593.657;1557500832.956;6;5;5;9;1;Y;Y;Y;Y;Y;Y
2761;nan;M;1554356760.0;1554360959.54233;nan;nan;nan;nan;nan;nan;nan;nan;nan;Y;Y;Y;Y
